total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,symbol,lot
12,7,5,58.3,6.283,6535.84,1110.43,247.43,4,5,0,0,0,3,41.7,0.0,164.8,3,9,0,7,180,30,3,3,5,0,1,0.8,10,BANKNIFTY,15
12,7,5,58.3,6.283,6535.84,1110.43,247.43,4,5,0,0,0,3,41.7,0.0,164.8,3,9,0,7,180,30,3,3,5,500,1,0.8,10,BANKNIFTY,15
12,7,5,58.3,5.604,6385.84,1110.43,277.43,4,5,0,0,0,3,41.7,0.0,169.8,3,9,0,7,180,30,3,3,10,0,1,0.8,10,BANKNIFTY,15
12,7,5,58.3,5.604,6385.84,1110.43,277.43,4,5,0,0,0,3,41.7,0.0,169.8,3,9,0,7,180,30,3,3,10,500,1,0.8,10,BANKNIFTY,15
35,30,5,85.7,5.596,23218.84,942.37,1010.48,4,23,0,0,6,2,65.7,0.0,266.9,12,23,10,20,180,15,3,3,30,200,1,0.8,0,BANKNIFTY,15
37,32,5,86.5,5.499,24545.22,937.51,1091.03,4,24,0,0,7,2,64.9,0.0,278.4,12,25,10,22,180,15,3,3,30,200,0,0.8,0,BANKNIFTY,15
12,7,5,58.3,5.274,5287.84,932.14,247.43,4,4,0,0,2,2,33.3,0.0,164.8,3,9,0,7,180,30,3,3,5,200,1,0.8,10,BANKNIFTY,15
33,29,4,87.9,5.214,22448.6,957.8,1331.91,3,22,0,0,6,2,66.7,0.0,281.8,9,24,9,20,180,15,3,3,30,200,1,1.0,0,BANKNIFTY,15
35,31,4,88.6,5.149,23774.98,951.79,1432.59,3,23,0,0,7,2,65.7,0.0,293.1,9,26,9,22,180,15,3,3,30,200,0,1.0,0,BANKNIFTY,15
37,31,6,83.8,5.07,27184.84,1092.4,1113.25,4,29,0,0,0,4,78.4,0.0,278.4,12,25,10,21,180,15,3,3,30,0,0,0.8,0,BANKNIFTY,15
37,31,6,83.8,5.07,27184.84,1092.4,1113.25,4,29,0,0,0,4,78.4,0.0,278.4,12,25,10,21,180,15,3,3,30,500,0,0.8,0,BANKNIFTY,15
35,28,7,80.0,5.042,22411.84,998.44,792.06,6,21,0,0,6,2,60.0,0.0,246.9,12,23,8,20,180,15,3,3,10,200,1,0.8,0,BANKNIFTY,15
12,7,5,58.3,5.03,6227.59,1110.43,309.08,4,5,0,0,0,3,41.7,0.0,178.3,3,9,0,7,180,30,3,3,20,0,1,0.8,10,BANKNIFTY,15
12,7,5,58.3,5.03,6227.59,1110.43,309.08,4,5,0,0,0,3,41.7,0.0,178.3,3,9,0,7,180,30,3,3,20,500,1,0.8,10,BANKNIFTY,15
37,30,7,81.1,4.992,23738.22,989.51,849.59,6,22,0,0,7,2,59.5,0.0,258.4,12,25,8,22,180,15,3,3,10,200,0,0.8,0,BANKNIFTY,15
35,29,6,82.9,4.944,22417.08,969.01,947.38,5,22,0,0,6,2,62.9,0.0,256.9,12,23,9,20,180,15,3,3,20,200,1,0.8,0,BANKNIFTY,15
37,31,6,83.8,4.901,23743.46,962.27,1014.5,5,23,0,0,7,2,62.2,0.0,268.4,12,25,9,22,180,15,3,3,20,200,0,0.8,0,BANKNIFTY,15
35,29,6,82.9,4.897,24458.58,1059.84,1046.13,4,27,0,0,0,4,77.1,0.0,266.9,12,23,10,19,180,15,3,3,30,0,1,0.8,0,BANKNIFTY,15
35,29,6,82.9,4.897,24458.58,1059.84,1046.13,4,27,0,0,0,4,77.1,0.0,266.9,12,23,10,19,180,15,3,3,30,500,1,0.8,0,BANKNIFTY,15
35,30,5,85.7,4.798,26414.6,1112.31,1390.95,3,28,0,0,0,4,80.0,0.0,293.1,9,26,9,21,180,15,3,3,30,0,0,1.0,0,BANKNIFTY,15
26,22,4,84.6,4.798,15228.35,874.45,1002.38,3,18,0,0,3,2,69.2,0.0,202.6,8,18,7,15,180,15,3,3,30,200,1,0.8,20,BANKNIFTY,15
35,30,5,85.7,4.798,26414.6,1112.31,1390.95,3,28,0,0,0,4,80.0,0.0,293.1,9,26,9,21,180,15,3,3,30,500,0,1.0,0,BANKNIFTY,15
28,24,4,85.7,4.752,16554.73,873.62,1103.06,3,19,0,0,4,2,67.9,0.0,222.3,8,20,7,17,180,15,3,3,30,200,0,0.8,20,BANKNIFTY,15
12,7,5,58.3,4.704,5137.84,932.14,277.43,4,4,0,0,2,2,33.3,0.0,169.8,3,9,0,7,180,30,3,3,10,200,1,0.8,10,BANKNIFTY,15
13,7,6,53.8,4.697,6118.09,1110.43,275.81,4,5,0,0,0,4,38.5,0.0,191.6,3,10,0,7,180,30,3,3,5,0,0,0.8,10,BANKNIFTY,15
13,7,6,53.8,4.697,6118.09,1110.43,275.81,4,5,0,0,0,4,38.5,0.0,191.6,3,10,0,7,180,30,3,3,5,500,0,0.8,10,BANKNIFTY,15
37,29,8,78.4,4.678,26377.84,1156.87,896.44,6,27,0,0,0,4,73.0,0.0,258.4,12,25,8,21,180,15,3,3,10,0,0,0.8,0,BANKNIFTY,15
37,29,8,78.4,4.678,26377.84,1156.87,896.44,6,27,0,0,0,4,73.0,0.0,258.4,12,25,8,21,180,15,3,3,10,500,0,0.8,0,BANKNIFTY,15
