total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,symbol,lot
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,41.9,1,4,1,4,150,15,3,1,5,0,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,47.3,0,4,0,4,150,15,3,1,5,0,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,47.3,0,4,0,4,150,15,3,1,5,0,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,41.9,1,4,1,4,150,15,3,1,5,200,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,47.3,0,4,0,4,150,15,3,1,5,200,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,47.3,0,4,0,4,150,15,3,1,5,200,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,41.9,1,4,1,4,150,15,3,1,5,500,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,47.3,0,4,0,4,150,15,3,1,5,500,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,47.3,0,4,0,4,150,15,3,1,5,500,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,46.9,1,4,1,4,150,15,3,1,10,0,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,52.3,0,4,0,4,150,15,3,1,10,0,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,52.3,0,4,0,4,150,15,3,1,10,0,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,46.9,1,4,1,4,150,15,3,1,10,200,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,52.3,0,4,0,4,150,15,3,1,10,200,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,52.3,0,4,0,4,150,15,3,1,10,200,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,46.9,1,4,1,4,150,15,3,1,10,500,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,52.3,0,4,0,4,150,15,3,1,10,500,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,52.3,0,4,0,4,150,15,3,1,10,500,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,56.9,1,4,1,4,150,15,3,1,20,0,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,62.3,0,4,0,4,150,15,3,1,20,0,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,62.3,0,4,0,4,150,15,3,1,20,0,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,56.9,1,4,1,4,150,15,3,1,20,200,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,62.3,0,4,0,4,150,15,3,1,20,200,2,1.0,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,62.3,0,4,0,4,150,15,3,1,20,200,2,99.0,10,NIFTY,25
5,5,0,100.0,9999.0,3168.76,633.75,0.0,0,5,0,0,0,0,100.0,0.0,56.9,1,4,1,4,150,15,3,1,20,500,2,0.8,10,NIFTY,25
4,4,0,100.0,9999.0,2612.51,653.13,0.0,0,4,0,0,0,0,100.0,0.0,62.3,0,4,0,4,150,15,3,1,20,500,2,1.0,10,NIFTY,25
