total,wins,losses,win_rate_pct,profit_factor,net_pnl_inr,avg_win_inr,avg_loss_inr,exits_sl,exits_t1,exits_t2,exits_trail,exits_cap,exits_eod,t1_hit_pct,t2_hit_pct,avg_sl_dist,gap_trades,normal_trades,gap_wins,nrm_wins,htf_min,mtf_min,ltf_min,exec_min,sl_buf,cap_pts,sector_confirm,gap_thr_pct,dte_filter,symbol,lot
21,19,2,90.5,7.8,10865.8,655.98,798.95,2,9,0,0,9,1,42.9,0.0,423.9,0,21,0,19,180,30,5,1,5,200,0,99.0,20,SENSEX,10
21,19,2,90.5,7.8,10865.8,655.98,798.95,2,9,0,0,9,1,42.9,0.0,423.9,0,21,0,19,180,30,5,1,5,200,1,99.0,20,SENSEX,10
8,7,1,87.5,7.585,4430.35,729.01,672.75,1,3,0,0,4,0,37.5,0.0,297.8,0,8,0,7,180,30,5,1,5,200,0,1.0,10,SENSEX,10
8,7,1,87.5,7.585,4430.35,729.01,672.75,1,3,0,0,4,0,37.5,0.0,297.8,0,8,0,7,180,30,5,1,5,200,0,99.0,10,SENSEX,10
8,7,1,87.5,7.585,4430.35,729.01,672.75,1,3,0,0,4,0,37.5,0.0,297.8,0,8,0,7,180,30,5,1,5,200,1,1.0,10,SENSEX,10
8,7,1,87.5,7.585,4430.35,729.01,672.75,1,3,0,0,4,0,37.5,0.0,297.8,0,8,0,7,180,30,5,1,5,200,1,99.0,10,SENSEX,10
21,19,2,90.5,7.563,10815.8,655.98,823.95,2,9,0,0,9,1,42.9,0.0,428.9,0,21,0,19,180,30,5,1,10,200,0,99.0,20,SENSEX,10
21,19,2,90.5,7.563,10815.8,655.98,823.95,2,9,0,0,9,1,42.9,0.0,428.9,0,21,0,19,180,30,5,1,10,200,1,99.0,20,SENSEX,10
8,7,1,87.5,7.314,4405.35,729.01,697.75,1,3,0,0,4,0,37.5,0.0,302.8,0,8,0,7,180,30,5,1,10,200,0,1.0,10,SENSEX,10
8,7,1,87.5,7.314,4405.35,729.01,697.75,1,3,0,0,4,0,37.5,0.0,302.8,0,8,0,7,180,30,5,1,10,200,0,99.0,10,SENSEX,10
8,7,1,87.5,7.314,4405.35,729.01,697.75,1,3,0,0,4,0,37.5,0.0,302.8,0,8,0,7,180,30,5,1,10,200,1,1.0,10,SENSEX,10
8,7,1,87.5,7.314,4405.35,729.01,697.75,1,3,0,0,4,0,37.5,0.0,302.8,0,8,0,7,180,30,5,1,10,200,1,99.0,10,SENSEX,10
21,19,2,90.5,7.131,10715.8,655.98,873.95,2,9,0,0,9,1,42.9,0.0,438.9,0,21,0,19,180,30,5,1,20,200,0,99.0,20,SENSEX,10
